id,aptem_id,month,category,title,source_ref,reason
130917,4443,2026-07,assignment,CI 2:Data-Driven Value & Business Impact - Assignment,asg:63510,No active linked or referenced evidence document/reflection
130918,4443,2026-08,assignment,CI 3:Competitive Advantage & Commercial Insight - Assignment,asg:63517,No active linked or referenced evidence document/reflection
130980,4521,2026-06,assignment,"CI 1:Marketing, Commercial Success & Performance - Assignment",asg:63642,No active linked or referenced evidence document/reflection
130789,4317,2026-07,assignment,CI 2:Data-Driven Value & Business Impact - Assignment,asg:65626,No active linked or referenced evidence document/reflection
130790,4317,2026-08,assignment,CI 3:Competitive Advantage & Commercial Insight - Assignment,asg:65634,No active linked or referenced evidence document/reflection
130923,4445,2026-01,assignment,Month 3 : Strategic Marketing Plan Development - LMS Activity,asg:33498,No active linked or referenced evidence document/reflection
130924,4445,2026-02,assignment,Month 4 : Aligning Supporting Plans - Coach Led Assignment,asg:33535,No active linked or referenced evidence document/reflection
130927,4445,2026-04,assignment,"M.CJ 2:Performance, Planning & Execution - Assignment",asg:63556,No active linked or referenced evidence document/reflection
130928,4445,2026-05,assignment,M.CJ 3: Governance & Compliance - Assignment,asg:63557,No active linked or referenced evidence document/reflection
130929,4445,2026-06,assignment,"CI 1:Marketing, Commercial Success & Performance - Assignment",asg:63576,No active linked or referenced evidence document/reflection
130930,4445,2026-06,assignment,M.CJ 4: Governance & Compliance - Assignment,asg:63565,No active linked or referenced evidence document/reflection
130931,4445,2026-07,assignment,CI 2:Data-Driven Value & Business Impact - LMS Activity,asg:63579,No active linked or referenced evidence document/reflection
130933,4445,2026-08,assignment,CI 3:Competitive Advantage & Commercial Insight - Assignment,asg:63585,No active linked or referenced evidence document/reflection
130777,4317,2025-12,assignment,Month 2 : Insights from Marketing Audits - Coach Led Assignment,asg:33815,No active linked or referenced evidence document/reflection
130781,4317,2026-02,assignment,Month 4 : Aligning Supporting Plans - Coach Led Assignment,asg:33817,No active linked or referenced evidence document/reflection
130784,4317,2026-04,assignment,"M.CJ 2:Performance, Planning & Execution - Assignment",asg:65601,No active linked or referenced evidence document/reflection
163562,1001,2026-05,reading+quiz,Q2 - Convert Insight into a Cross-Functional Optimisation Plan,la:118213:125858,Material 125858: original questions available but no saved learner answers
130761,4316,2025-12,assignment,Month 2 : Insights from Marketing Audits - Coach Led Assignment,asg:33899,No active linked or referenced evidence document/reflection
130769,4316,2026-05,assignment,M.CJ 3: Governance & Compliance - Assignment,asg:65740,No active linked or referenced evidence document/reflection
130772,4316,2026-07,assignment,CI 2:Data-Driven Value & Business Impact - LMS Activity,asg:65765,No active linked or referenced evidence document/reflection
130773,4316,2026-07,assignment,CI 2:Data-Driven Value & Business Impact - Assignment,asg:65764,No active linked or referenced evidence document/reflection
130817,4331,2026-08,assignment,M.MarTech 2: AdTech & CRM Technology - Assignment,asg:61395,No active linked or referenced evidence document/reflection
130818,4336,2025-12,assignment,Month 2 : Insights from Marketing Audits - LMS Activity,asg:33696,No active linked or referenced evidence document/reflection
130819,4336,2026-01,assignment,Month 3 : Strategic Marketing Plan Development - LMS Activity,asg:33697,No active linked or referenced evidence document/reflection
130820,4336,2026-02,assignment,Month 4 : Aligning Supporting Plans - Coach Led Assignment,asg:33734,No active linked or referenced evidence document/reflection
130822,4336,2026-04,assignment,"M.CJ 2:Performance, Planning & Execution - Assignment",asg:63356,No active linked or referenced evidence document/reflection
130824,4336,2026-06,assignment,"CI 1:Marketing, Commercial Success & Performance - Assignment",asg:63376,No active linked or referenced evidence document/reflection
130826,4336,2026-07,assignment,CI 2:Data-Driven Value & Business Impact - LMS Activity,asg:63379,No active linked or referenced evidence document/reflection
130828,4336,2026-08,assignment,CI 3:Competitive Advantage & Commercial Insight - Assignment,asg:63385,No active linked or referenced evidence document/reflection
